,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
776,1648560562.087034,tb3_1,1,ACTIVE,"(-14.954403336215142, -33.55851373734848)","(103.81505486547803, 1.3156180142536626)"
777,1648560562.314564,tb3_1,1,ACTIVE,"(-14.918042198408527, -33.523628811180345)","(103.81505813636964, 1.3156211515277765)"
778,1648560562.519061,tb3_1,1,ACTIVE,"(-14.887669240493874, -33.4946339304436)","(103.81506086859036, 1.3156237590978328)"
779,1648560562.720876,tb3_1,1,ACTIVE,"(-14.85046723426052, -33.459260850988315)","(103.81506421512293, 1.3156269402725969)"
780,1648560562.925149,tb3_1,1,ACTIVE,"(-14.814595685145203, -33.425350743056356)","(103.8150674419733, 1.315629989879288)"
781,1648560563.124406,tb3_1,1,ACTIVE,"(-14.794280050684813, -33.40540349492438)","(103.81506926948042, 1.3156317837768527)"
782,1648560563.340833,tb3_1,1,ACTIVE,"(-14.78628539560222, -33.395278219391756)","(103.81506998864512, 1.3156326943638554)"
783,1648560563.528524,tb3_1,1,ACTIVE,"(-14.784342601375288, -33.39183116241181)","(103.81507016341045, 1.3156330043647928)"
784,1648560563.624073,tb3_1,3,SUCCEEDED,"(-14.784247683554819, -33.39162076260559)","(103.81507017194885, 1.3156330232864797)"
785,1648560563.630415,tb3_1,1,ACTIVE,"(-14.78425617139241, -33.39163811190013)","(103.81507017118531, 1.315633021726222)"
786,1648560563.742805,tb3_1,1,ACTIVE,"(-14.78428158359677, -33.39169001039074)","(103.81507016889935, 1.315633017058884)"
787,1648560563.959244,tb3_1,1,ACTIVE,"(-14.781858584181387, -33.38645376420573)","(103.81507038686182, 1.3156334879652678)"
788,1648560564.176483,tb3_1,1,ACTIVE,"(-14.766500311930796, -33.35616363975592)","(103.81507176842523, 1.3156362120184926)"
789,1648560564.392335,tb3_1,1,ACTIVE,"(-14.74352044049337, -33.31274043789344)","(103.81507383559466, 1.3156401171564398)"
790,1648560564.594795,tb3_1,1,ACTIVE,"(-14.716037100123081, -33.2617993909426)","(103.81507630787667, 1.315644698389697)"
791,1648560564.811006,tb3_1,1,ACTIVE,"(-14.695181605521036, -33.22454402139016)","(103.8150781839465, 1.3156480488418372)"
792,1648560565.015304,tb3_1,1,ACTIVE,"(-14.66923420362227, -33.17973580026096)","(103.81508051806232, 1.3156520785375194)"
793,1648560565.22747,tb3_1,1,ACTIVE,"(-14.643564299100412, -33.13575040645648)","(103.81508282721569, 1.315656034234652)"
794,1648560565.449856,tb3_1,1,ACTIVE,"(-14.617611456591192, -33.09217429278842)","(103.815085161821, 1.3156599531244009)"
795,1648560565.665267,tb3_1,1,ACTIVE,"(-14.590998955760561, -33.04811242616514)","(103.81508755576634, 1.3156639156989298)"
796,1648560565.873273,tb3_1,1,ACTIVE,"(-14.56069149588646, -32.99751399875305)","(103.81509028209419, 1.3156684661198352)"
797,1648560566.070884,tb3_1,1,ACTIVE,"(-14.543490774961525, -32.96871025354065)","(103.81509182939656, 1.3156710565000287)"
